Date 24/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.34,64,,
Unit:(Rs./Kg.),Wheat,31.86,54,,
,Atta (Wheat),37.23,71,,
,Gram Dal,86.85,140,,
,Tur/Arhar Dal,115.9,182,,
,Urad Dal,113.76,155,,
,Moong Dal,110.65,148,,
,Masoor Dal,89.66,134,,
,Sugar,46.6,60,,
,Milk @,59.03,84,,
,Groundnut Oil (Packed),187.78,280,,
,Mustard Oil (Packed),186.54,249,,
,Vanaspati (Packed),156.75,231,,
,Soya Oil (Packed),146.63,198,,
,Sunflower Oil (Packed),165.05,242,,
,Palm Oil (Packed),132.97,187,,
,Gur,57.29,128,,
,Tea Loose,272.19,560,,
,Salt Pack (Iodised),21.5,35,,
,Potato,27.07,60,,
,Onion,26.95,60,,
,Tomato,51.12,120,,
