Date 19/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.46,63,,
Unit:(Rs./Kg.),Wheat,31.44,55,,
,Atta (Wheat),36.78,70,,
,Gram Dal,86.07,140,,
,Tur/Arhar Dal,119.11,183,,
,Urad Dal,114.79,157,,
,Moong Dal,110.7,145,,
,Masoor Dal,87.94,130,,
,Sugar,45.92,65,,
,Milk @,59.28,82,,
,Groundnut Oil (Packed),185.36,254,,
,Mustard Oil (Packed),179.89,253,,
,Vanaspati (Packed),156.99,231,,
,Soya Oil (Packed),147.27,198,,
,Sunflower Oil (Packed),160.77,253,,
,Palm Oil (Packed),130.58,177,,
,Gur,55.76,120,,
,Tea Loose,269.34,600,,
,Salt Pack (Iodised),21.28,32,,
,Potato,25.81,57,,
,Onion,27.89,60,,
,Tomato,40.69,107,,
