,Date 24/04/2026
Rice,43.12
Wheat,31.01
Atta (Wheat),36.8
Gram Dal,85.15
Tur/Arhar Dal,122.43
Urad Dal,117.86
Moong Dal,111.54
Masoor Dal,89.58
Sugar,46.54
Milk @,59.68
Groundnut Oil (Packed),200.51
Mustard Oil (Packed),189.15
Vanaspati (Packed),160.18
Soya Oil (Packed),159.2
Sunflower Oil (Packed),185.01
Palm Oil (Packed),143.76
Gur,57.59
Tea Loose,274.55
Salt Pack (Iodised),21.8
Potato,20.25
Onion,24.86
Tomato,31.24
Bajra (whole),37.38
Jowar (whole),43.51
Maida (wheat),41.75
Ragi (whole),54.71
Suji (whole),46.65
Besan,95.18
Desi Ghee,683.91
Butter (Pasteurised),58.89
Eggs,78.12
Brinjal,40.18
Black Pepper (whole),87.39
Coriander (whole),38.38
Cummin Seed (whole),40.86
Red Chillies (whole),28.75
Turmeric (powder),16.43
Banana,47.96
Ginger,25.11
Garlic,36.61
