Date 05/12/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.3,68,27,40,52,53,44.5,42,38.11,44,37.67,37,50,56,39.17,38.5,41.08,45.5,38.63,51.03,49.54,50,38.27,47.84,37.7,49.9,43.77,39.04,65,40.6,42.04,47.33,58.14,55.7,38.5,39.28,38,44
Unit:(Rs./Kg.),Wheat,32.24,58,22,30,,42.75,45,36.85,29.39,31,34,30,40,50,35.33,29.25,25,33.5,32,42.53,46.55,,30.16,40.21,44.22,42.13,44,39.18,48,30.13,29.58,38.5,46.78,40.7,,28.78,29,30.8
,Atta (Wheat),37.26,70,29,35,67.33,46.25,43.25,40,34.89,36,38.67,35,47.5,45.5,35.67,34.25,36.5,40.38,36.56,44.19,47,44,34.69,44.42,43,48.6,50.31,43.27,47,35.4,33.71,39.33,54.68,44,43.75,34.15,35,40.09
,Gram Dal,94.46,140,70,90,113.33,96.2,106.75,95.72,89.17,90,97.33,97,105,113.5,93.33,89.75,96.08,98.5,91.47,94.78,114.23,126.5,91.98,97.53,110,98.43,102,93.43,109,94.4,89.17,100.83,101.07,89.4,103,88.17,94,90.52
,Tur/Arhar Dal,159.91,193,116,160,177.33,169.2,175,160.96,154.89,165,159.78,147,161.5,166,167,163.25,163.08,163,158.44,153.31,174.5,167,155.33,165.79,178,158.83,165.88,157.39,185,164.47,162.21,170,170.5,162.6,155,151.32,164,164.48
,Urad Dal,124.45,173,85,120,152,130.6,129.5,111.33,121.61,125,119.44,138,145,155,117.67,116.75,133.17,127.63,122.75,129.03,143,136.5,118.33,128.95,133,135.71,122.13,118.73,151,133.07,120.79,126.67,136.61,128.6,129.5,118.65,122.67,125.35
,Moong Dal,115.01,160,87,120,127.33,121.6,117.5,115.04,112.56,116,115.22,118,124,131.5,107.17,113.75,115.75,122.63,113,113.91,132.62,130,108.71,119.74,123.4,139.57,122.21,113.09,115,115,108,126.67,119.61,116,112,109.01,116.67,117.83
,Masoor Dal,89.9,168,74,90,100,92.6,100,88.84,80.36,90,92.89,90,96,100.5,85.83,84.5,87.75,103.63,81.5,92.28,102.92,135,86.33,93.21,87.9,98.3,98.21,82.52,100,93.2,86.92,94.17,92.25,92.6,103,86.36,104.33,96.91
,Sugar,44.87,60,38,44,53,44,53.75,47.48,44.6,45,43.44,45,43,44.5,42.83,44.25,47.17,49.75,45.25,42.63,43.46,55,42.43,43.32,49,52.3,49.92,45,49,43.93,43.04,51.5,44.07,39.9,49.5,43.82,44.33,46.09
,Milk @,58.95,85,39,60,74,56.75,75.25,72.76,56.6,60,59.56,56,66,59,63.83,58.25,53.08,53.5,59,51.34,54.77,60,55.45,59.26,73.5,80.1,73.08,53.26,48,60,52.45,64.17,48.46,58.2,75,61.91,63.33,56.13
,Groundnut Oil (Packed),195.17,275,132,220,249.5,175.5,169,202,197,183,199,216,211.5,242.5,187.67,211.75,225.75,,200.75,187.03,226.33,,193.33,195.42,,152.5,,206,247,233.38,189.48,,213.32,167.6,,198.97,178,204.38
,Mustard Oil (Packed),169.28,221,124,165,178.67,176.5,175.5,169.32,166.74,139,163.44,178,194,184,173.5,156.75,188.17,189.57,170.56,174.81,202.4,190.5,164.45,182.61,167.1,180.13,156.93,181.09,137,170.4,154.38,188.67,187.95,164.7,179.75,161.45,159,165.52
,Vanaspati (Packed),145.05,209,92,143,162.33,135.25,133.67,147.47,143.41,124,131.56,167,176.5,167.5,140.5,139.25,163.17,160.63,148.06,132.34,177.09,176,140.6,149.37,157,131.67,156,149.05,146,167.53,131.65,140.83,161.04,114.78,158,140.84,152.67,139.09
,Soya Oil (Packed),143.33,194,102,154,,143.5,144.5,147.33,146.94,119,137,161,154,169.5,143.33,138.25,149.64,155.63,147.13,140.44,144,194,141.76,150.32,156.8,137.7,157.07,148,,157.13,132.7,151.5,,117.13,164.5,141.2,145,137.09
,Sunflower Oil (Packed),152.63,253,108,162,139.67,155.75,169,151.5,156.97,120,142.11,163,166,166.5,142.5,149,151.75,166.4,160.87,149.91,166.46,,148.69,156.68,220,147.5,171.5,155.3,135,161.46,142.69,166.5,157.04,141.1,173.33,149.04,155.33,148.13
