Date 23/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.83,64,,
Unit:(Rs./Kg.),Wheat,31.39,55,,
,Atta (Wheat),37.13,71,,
,Gram Dal,86.98,122,,
,Tur/Arhar Dal,128.76,180,,
,Urad Dal,118.57,155,,
,Moong Dal,111.8,150,,
,Masoor Dal,88.08,130,,
,Sugar,45.69,60,,
,Milk @,58.85,80,,
,Groundnut Oil (Packed),190.48,279,,
,Mustard Oil (Packed),169.28,246,,
,Vanaspati (Packed),153.81,209,,
,Soya Oil (Packed),146.19,211,,
,Sunflower Oil (Packed),160.92,211,,
,Palm Oil (Packed),137.77,182,,
,Gur,54.49,120,,
,Tea Loose,269.67,523,,
,Salt Pack (Iodised),21.25,31,,
,Potato,23.64,60,,
,Onion,28.73,67,,
,Tomato,21.69,100,,
