Date 07/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.81,68,29,40,53,53.5,44.5,41.57,37.56,44,37.8,40,51.5,54.5,37.86,38.75,41,44.86,38.77,53.69,49.43,47,38.02,48.11,51,37.3,49.7,42.93,39.8,65,39.93,42.06,49.33,57.82,56.1,37.75,39.39,38,42.88
Unit:(Rs./Kg.),Wheat,32,58,22,28,,42.5,45,37.27,29.75,31,32.8,30,39.5,50,34.14,29.25,24,33.33,31.92,42.63,46.75,,30,39.84,49,43,42.13,43,38.05,48,27.21,29.52,38.83,45.97,40.6,,28.35,29.33,30.88
,Atta (Wheat),36.95,70,29,35,68.5,45,43,39.7,34.94,36,36.6,34,46.5,45,35.71,34.25,36,39,36.15,44.69,46.07,43,34.62,44.68,49,41.9,48.6,49.21,42.16,47,32.93,33.58,39.33,54.67,44.4,40.25,33.79,35.67,39.12
,Gram Dal,95.61,145,70,90,114,101,105.5,96.65,88.19,90,98.6,100,100,106.5,94.29,92.25,99,97,93.42,95.06,111.69,131,93.02,99.53,113,110.17,98.43,101,98.96,102,99.07,89.71,97,102.58,91.4,99.67,89.15,88.33,90.12
,Tur/Arhar Dal,162.1,195,124,160,171,168.75,179.5,169.13,155.44,165,156,163,167.5,166.5,166.29,166.75,165.75,164.5,159.38,158.22,176.46,172,156.89,166.21,178,178.6,157.17,168.25,156.88,185,168.57,162.9,170,171.55,163.4,165,153.59,163.67,163.65
,Urad Dal,125.32,170,85,120,163,131.25,125.75,112.29,122.44,125,115.8,143,145,155,123.71,118,133.75,127.29,123.38,130.84,142.83,141,118.58,129.32,140,133,135.29,123.38,119.13,149,131.43,119.97,124.33,137.61,128.5,129,120.39,121,125.24
,Moong Dal,116.11,160,87,120,137.5,121.5,118.25,116.78,110.63,116,114.8,123,127.5,131.5,113,116.75,117.42,121.71,111.54,118.66,132.15,128.5,109.67,120.16,128,122.8,138.57,122,113.76,113,116.64,107.26,126.67,121.64,115.8,112.5,111.77,115.67,115.82
,Masoor Dal,90.47,160,74,90,105,93.25,101.25,91.39,79.69,90,89,90,93,100.5,84.86,86,87.42,104.71,81.31,93.34,102.15,130,86.77,93.68,93,87.8,98.6,98,82.72,98,93,86.61,95.83,92.17,93.3,106.75,87.63,104.67,94.18
,Sugar,45,60,33,44,55,44,53.75,47.35,44.88,45,43.6,45,43,44,43,44.75,47,50,46.08,43.06,44.07,55,42.7,43.68,54,49.4,52,50.15,44.92,48,44.79,42.68,51.5,44.15,40.3,49.75,43.95,44.33,46.29
,Milk @,58.66,83,39,60,74,56.75,75.25,72.55,55.38,60,58,56,66,59,63,58.25,52.92,54.43,59.55,51.28,54.36,60,55.96,59.21,,73.6,79.4,72,53.21,48,59.71,52.57,64.17,47.52,58.1,74.25,61.83,63.33,55.76
,Groundnut Oil (Packed),195.47,275,132,187,262,179.25,169,211,186,183,199.5,216,213.5,241,187,211.5,225.75,,198.2,184.59,235.33,,194.69,197.32,,,152,,192.83,259,234.42,187.6,,216.15,169.1,,198.56,177,206.38
,Mustard Oil (Packed),168.28,210,124,165,168,176.5,178.67,170.3,155.73,139,158.6,178,187,184,170.86,156.25,185.42,185.67,169.54,170.63,192.7,174.5,163.9,183.22,181,164,178,153.07,180,164,170.14,152.58,189.33,183.19,162.9,178.5,161.03,158.67,167.24
,Vanaspati (Packed),141.58,209,92,143,154,135.25,131.33,143.17,133.44,124,125.4,163,164.5,162,140.57,135.5,156,153.43,145.08,128.22,167.46,180,138.31,147.58,154,157,129.33,152.33,142.96,161,163.5,129.77,142.17,153.24,111.78,139,139.4,152,138.35
,Soya Oil (Packed),140.01,198,92,142.5,,136,141.75,142.35,136.13,119,125,158,148,168.5,140.86,137,145.8,148,145.15,136.22,146,190,140.88,147.47,154,152.6,132.3,156.57,137.78,,153.14,131.83,155.5,,114.38,146,138.87,144.67,134.71
,Sunflower Oil (Packed),146.22,220,105,148,145,152.25,166,149.24,153.4,120,133,159,161.5,158.5,143.14,143.5,150.75,157,158.09,141.13,156.5,,146,152.63,,186,147.2,171.5,147.8,135,157.33,140.95,166,148.21,136,169,147.27,155.33,142.94
,Palm Oil (Packed),127.4,170,91,142,129,132.75,,119,116.5,100,124.25,134,122.5,137,130.67,116.5,114.5,132.4,122.38,122.97,147.91,,119.48,135.25,154,125,123.33,,131.1,117,137.18,111.75,,135.85,124.1,130.67,118.71,149,120.25
,Gur,55.56,130,35,50,79.5,59.5,82.5,61.65,47.63,55,48.6,63,63,59,55.57,53.5,50.17,53.71,52.42,52.06,61.77,70,50.43,56.11,84,78.4,107.56,75.43,53.72,60,51.93,45.13,61,58.03,53.4,72.25,51.84,57.33,53.41
,Tea Loose,270.93,520,154,247.5,307.5,299.25,360,244.35,278.75,269,228.2,245,293.5,322.5,207,239.75,268.17,307.57,250.92,244.41,233.91,480,228.83,306.89,230,368.3,494.6,310.17,277.2,335,272.43,293.85,401.67,285.29,284.78,227.75,238.44,277,261.24
,Salt Pack (Iodised),21.89,30,9,27,21,19.5,19.25,13.22,21.63,28,19.4,27,28,25.5,19,24.75,27.83,27.71,26.58,17.94,15.14,28,16.31,24.16,25,18.9,29.8,17.46,25.92,26,26.36,19.72,21.33,24.53,20.1,11,26.11,28,23.47
,Potato,37.53,71,23,40,70.5,43.25,38.5,34.22,31.88,39,39,35,39,50,38.86,33.5,37.67,36.57,35.38,40.81,51.14,45,34.21,40.68,43,38.7,49.2,39.79,33.4,50,31.64,37.19,40.83,50.88,37.1,37.75,31.29,41.67,30.71
,Onion,56.45,90,30,60,77.5,54.75,62.5,63.13,50.19,52,51.2,62,60.5,58.5,55,54.75,65.67,64.29,54.85,45.91,73.92,70,49.92,51.21,72,72.6,66,71.14,57.52,60,59.29,49.61,71.67,65.33,47.1,67.5,50.21,57.67,60
,Tomato,55.88,130,17,50,120,44.25,73.5,63.14,57.06,60,46.8,55,56.5,53,50.71,74.5,61.08,65.86,67.15,40.19,40.31,90,52.71,51.63,98,60.7,99.7,76.07,54.96,47,52.64,57.26,71.67,39.91,46.2,69.25,53.47,50,65.65
