Date 14/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.52,68,28,40,51.33,53.5,44.5,41.26,37.79,44,38.33,40,52,54,38.38,40,40.83,44.25,39.41,53.97,49.08,47.5,38.16,48,51,37.3,49.7,43.29,39.96,65,39.8,42.39,49,57.7,56.1,38,39.48,37.5,43.61
Unit:(Rs./Kg.),Wheat,31.82,58,22,28,,42.5,45,37.17,29.05,31,34.17,30,40,51,34.63,29.33,24,33.5,32,42.45,48.18,,30,39.89,49,43.22,42.14,42.57,38.47,48,27.8,29.64,38.5,46.03,40.6,,28.55,28.5,30.8
,Atta (Wheat),37.01,70,29,35,69,45.25,43,39.61,34.82,36,38.5,34,47,48,35.88,35,36.08,40.13,36.41,44.61,47.08,45,34.68,44.68,49,42.7,48.3,49.86,42.61,47,33.47,33.64,39.33,55.36,44.4,41.25,33.92,36,39.7
,Gram Dal,95.43,145,70,90,110.33,102,105.5,95.61,88.87,90,99.83,100,102.5,108,93.38,94,98.33,99,93.81,95.19,113.08,132.5,92.98,99.32,113,109.67,101.29,101.8,100.32,102,98.87,89.68,100.83,101.88,89.9,101.33,89.37,88,91.04
,Tur/Arhar Dal,161.64,196,123,160,173.33,169,179.5,167.87,155.53,165,157.5,167,170.5,167,166.5,167.33,164.58,166,158.47,157.71,174.17,180,156.58,166.53,178,178.2,158.33,165.88,158.52,185,168.8,161.71,170,171.58,163.8,165.67,153.32,165,164.22
,Urad Dal,124.99,173,85,120,160.67,131.25,125.75,110.76,120.84,125,118.67,147,150.5,155,123.25,119.33,134,127.63,122.53,131.1,143,141,118.72,128.95,140,133,132.83,123.57,120.41,149,130.93,119.5,126.67,136.48,128.1,129,120.85,119.5,125.17
,Moong Dal,116.14,160,87,120,137,121.75,118.25,116.26,112.76,116,115.67,127,127.5,125,110.63,117.67,117.33,122.25,113.29,118.26,131.58,128.5,109.4,120.58,128,122.8,138.86,123.21,114.65,113,116.93,107,126.67,121,115.8,114,111.95,116.25,117.87
,Masoor Dal,90.24,140,74,90,103,93.25,101.25,91.17,80.37,90,89.33,90,95,98,85.75,88.33,87.25,105,83,93.52,97,133.5,86.94,94.11,93,88.3,98.3,98.36,83.04,98,93.2,86.54,93.33,92.28,92.6,108,87.65,102.5,97.43
,Sugar,45,60,34,45,54.33,44,53.75,47.61,44.7,45,43.5,45,43,44,43,45,47.08,49.88,45.31,43.06,43.77,55,42.68,43.58,54,49.4,51.8,49.77,45.04,49,44.6,42.59,51.5,44.21,40.2,51,43.99,44,46.09
,Milk @,58.63,83,39,60,73.67,56.75,75.25,72.75,56.54,60,57.83,56,66,62,63.25,59,52.92,53.5,59.13,51.32,54.69,60,55.46,59.05,,73.6,79.1,73.08,53.45,48,59.8,52.67,64.17,47.33,58.1,74,61.89,62,55.65
,Groundnut Oil (Packed),195.54,275,142,198,237,176.25,169,208.83,193.27,183,201,216,214.5,236,189.13,208.33,225.75,,195.08,185.77,235.67,,194.72,198.16,,,172,,192.6,246,232.77,187.96,,214.73,169.3,,198.89,169,211.89
,Mustard Oil (Packed),167.59,221,124,173,169.67,173.75,179,169.91,158.97,139,164,180,191.5,181,175.38,157.67,185.92,191,172.88,172.1,196,175,164.84,183.89,181,166.1,177.63,153.07,180.22,152,171.53,152.75,188.67,183.69,163,179.75,161.77,156,165.09
,Vanaspati (Packed),142.63,188,92,143,162.67,133.75,131.33,145.12,136.26,124,133,165,170.5,170,140.5,139.67,156.75,156.13,145.29,129.9,165.17,165,139.2,149.05,154,157,121.8,152.33,145,157,166.73,130.3,140.83,156.39,112.56,139,140.89,144.75,137.64
,Soya Oil (Packed),141.68,198,102,154,,136,141.75,143.78,138.83,119,133.5,159,151.5,170,140.63,141,146.2,150,146.76,138.58,146,194,142.08,150,154,153,133.3,156.07,138.75,,157.13,132.37,146.6,,114.38,149,140.88,139.75,136.26
,Sunflower Oil (Packed),148.4,220,105,154.5,135,154.75,167.33,148.83,151.52,120,138.67,159,160.5,159,143.38,144,150.75,160,157.53,144.35,157.08,,147.39,154.47,,186,149.25,171.5,150.48,135,160.54,140,174,153.06,137.6,170,148.07,152,145.14
,Palm Oil (Packed),129.1,167,91,143,121.33,135.5,,122.93,117.23,100,131.8,139,127,143,137.29,121,114.5,132.4,125.88,125.74,148.27,,118.68,138.25,154,125,123.8,146,132.95,121,137.83,113.25,,140.06,124,135,120.32,121,122.2
,Gur,55.24,130,35,50,76.67,60.5,83.25,62,47.65,55,50,60,64,60,55.5,53.67,49.83,52.88,51.13,51.9,60.58,70,50.22,55.79,84,78.4,107.56,77.63,53.57,60,51.8,44.85,61,57.94,53.5,74.25,52,56.25,54
,Tea Loose,271.1,520,154,200,309,299.25,355,246.22,274.92,269,221.5,245,295,330,209.38,243,268.92,314.38,250.56,244,233.6,480,228.64,307.11,240,367.8,488.3,314.23,284.68,335,274.33,294.38,394,286.96,284.67,233.25,238.48,265.25,272.39
,Salt Pack (Iodised),22.05,30,10,27,20,19.5,19.5,13.26,23.49,28,18.33,27,28,26,18.75,26.33,27.83,27.75,25.13,17.87,15.08,28,16.1,24.16,25,18.9,29.8,18.14,25.91,26,26.4,20.28,21.33,24.56,20.1,10.5,26.05,28.5,23.78
,Potato,37.48,71,22,35,67,43.25,40.75,34.74,32.86,39,39.33,33,38.5,48,38.13,35.33,38.5,37.25,34.88,40.29,50.15,42.5,34.14,41.16,48,40.4,48.5,40.86,33.57,50,31.33,36.74,41.67,51.91,36.8,39.75,31.34,40,32.74
,Onion,58.36,107,28,60,87.33,55.25,70.25,65.78,51.73,51,52.5,65,56,53,56,54.67,67.75,66,62.12,46.03,76.5,70,49.56,55.32,79,77.6,64.1,72.93,58.83,58,61.2,48.48,79.67,71.18,47.6,77.25,52.18,57,63.35
,Tomato,52.35,140,18,50,120,35,73.5,61.74,55.92,60,43.83,52,40,37,42.25,60,58.83,63.88,63.71,33.9,31.42,80,50.06,49.05,100,54.1,98,72.07,47.48,31,52.33,53.44,67.33,32.12,43.7,67.75,51.31,46.75,59.52
