Date 02/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.66,63,,
Unit:(Rs./Kg.),Wheat,31.25,55,,
,Atta (Wheat),36.7,71,,
,Gram Dal,86.42,140,,
,Tur/Arhar Dal,124.73,185,,
,Urad Dal,116.56,157,,
,Moong Dal,111.45,148,,
,Masoor Dal,88.04,130,,
,Sugar,45.89,62,,
,Milk @,59.04,82,,
,Groundnut Oil (Packed),188.52,279,,
,Mustard Oil (Packed),171.27,242,,
,Vanaspati (Packed),155.74,231,,
,Soya Oil (Packed),146.87,187,,
,Sunflower Oil (Packed),161.07,231,,
,Palm Oil (Packed),133.83,182,,
,Gur,55.02,147,,
,Tea Loose,271.44,600,,
,Salt Pack (Iodised),21.4,31,,
,Potato,24.65,60,,
,Onion,26.24,60,,
,Tomato,26.41,100,,
