,Date 13/03/2026
Rice,43.0
Wheat,31.07
Atta (Wheat),36.91
Gram Dal,85.59
Tur/Arhar Dal,121.77
Urad Dal,116.96
Moong Dal,110.64
Masoor Dal,89.51
Sugar,46.35
Milk @,59.21
Groundnut Oil (Packed),196.25
Mustard Oil (Packed),186.34
Vanaspati (Packed),156.62
Soya Oil (Packed),151.61
Sunflower Oil (Packed),179.2
Palm Oil (Packed),138.99
Gur,56.84
Tea Loose,271.48
Salt Pack (Iodised),21.58
Potato,20.92
Onion,25.93
Tomato,28.19
Bajra (whole),37.78
Jowar (whole),43.65
Maida (wheat),41.53
Ragi (whole),54.48
Suji (whole),46.4
Besan,95.23
Desi Ghee,680.05
Butter (Pasteurised),59.02
Eggs,79.24
Brinjal,38.4
Black Pepper (whole),87.13
Coriander (whole),37.78
Cummin Seed (whole),40.34
Red Chillies (whole),28.03
Turmeric (powder),16.33
Banana,47.53
Ginger,24.71
Garlic,37.52
