,Date 16/03/2026
Rice,43.1
Wheat,31.35
Atta (Wheat),36.98
Gram Dal,85.71
Tur/Arhar Dal,122.0
Urad Dal,117.1
Moong Dal,110.95
Masoor Dal,89.48
Sugar,46.41
Milk @,59.32
Groundnut Oil (Packed),196.56
Mustard Oil (Packed),186.4
Vanaspati (Packed),157.31
Soya Oil (Packed),152.37
Sunflower Oil (Packed),179.72
Palm Oil (Packed),139.53
Gur,57.23
Tea Loose,273.18
Salt Pack (Iodised),21.61
Potato,21.09
Onion,26.05
Tomato,28.6
Bajra (whole),37.96
Jowar (whole),44.1
Maida (wheat),41.83
Ragi (whole),54.82
Suji (whole),46.92
Besan,95.72
Desi Ghee,680.6
Butter (Pasteurised),59.08
Eggs,79.13
Brinjal,38.63
Black Pepper (whole),87.13
Coriander (whole),38.26
Cummin Seed (whole),40.88
Red Chillies (whole),28.36
Turmeric (powder),16.35
Banana,47.84
Ginger,24.79
Garlic,37.68
