,Date 16/04/2026
Rice,43.06
Wheat,31.07
Atta (Wheat),36.88
Gram Dal,85.3
Tur/Arhar Dal,122.58
Urad Dal,117.86
Moong Dal,111.4
Masoor Dal,89.52
Sugar,46.46
Milk @,59.42
Groundnut Oil (Packed),199.6
Mustard Oil (Packed),188.97
Vanaspati (Packed),159.76
Soya Oil (Packed),158.2
Sunflower Oil (Packed),184.45
Palm Oil (Packed),143.22
Gur,57.29
Tea Loose,274.14
Salt Pack (Iodised),21.8
Potato,20.37
Onion,24.95
Tomato,28.13
Bajra (whole),37.41
Jowar (whole),43.62
Maida (wheat),41.85
Ragi (whole),54.66
Suji (whole),46.83
Besan,95.26
Desi Ghee,684.06
Butter (Pasteurised),58.85
Eggs,77.52
Brinjal,39.51
Black Pepper (whole),87.48
Coriander (whole),38.24
Cummin Seed (whole),40.82
Red Chillies (whole),28.64
Turmeric (powder),16.38
Banana,47.91
Ginger,24.98
Garlic,36.52
