Date 18/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.12,64,,
Unit:(Rs./Kg.),Wheat,31.72,54,,
,Atta (Wheat),37.01,71,,
,Gram Dal,87.46,140,,
,Tur/Arhar Dal,116.59,182,,
,Urad Dal,114.36,170,,
,Moong Dal,110.89,150,,
,Masoor Dal,89.64,140,,
,Sugar,46.52,60,,
,Milk @,59.4,85,,
,Groundnut Oil (Packed),188.38,279,,
,Mustard Oil (Packed),188.56,257,,
,Vanaspati (Packed),156.95,264,,
,Soya Oil (Packed),147.37,198,,
,Sunflower Oil (Packed),162.54,253,,
,Palm Oil (Packed),132.48,190,,
,Gur,57.06,137,,
,Tea Loose,273.51,600,,
,Salt Pack (Iodised),21.55,34,,
,Potato,25.24,55,,
,Onion,27.6,60,,
,Tomato,39.64,120,,
