Date 06/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.16,63,,
Unit:(Rs./Kg.),Wheat,31.87,54,,
,Atta (Wheat),37.25,71,,
,Gram Dal,87.07,140,,
,Tur/Arhar Dal,115.11,182,,
,Urad Dal,113.69,157,,
,Moong Dal,110.42,148,,
,Masoor Dal,89.64,130,,
,Sugar,46.57,60,,
,Milk @,59.55,83,,
,Groundnut Oil (Packed),187.11,286,,
,Mustard Oil (Packed),187.7,246,,
,Vanaspati (Packed),156.27,231,,
,Soya Oil (Packed),146.37,198,,
,Sunflower Oil (Packed),164.33,242,,
,Palm Oil (Packed),132.86,187,,
,Gur,57.79,128,,
,Tea Loose,271.95,560,,
,Salt Pack (Iodised),21.28,35,,
,Potato,26.78,60,,
,Onion,27.05,60,,
,Tomato,38.51,120,,
