Date 30/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.26,68,27,40,51.5,53,46,41.83,37.86,44,37.75,37,52,38.75,39.33,41.08,46.29,39,54.03,48.58,49,38.29,47.68,38,49.7,43.92,39.3,40.29,38.6,49,57.5,55.9,38.25,39.4,38.5,43
Unit:(Rs./Kg.),Wheat,32.12,58,22,30,,42.75,45,37.58,29.19,31,33,30,39.5,34.75,29.67,25,33.2,32,42.78,48.1,,29.77,40.05,44.57,42.14,43.33,38.88,29.86,29.4,38.5,45.45,40.6,,28.74,26,31
,Atta (Wheat),37.36,70,29,35,67.5,46.25,43.67,39.91,35.03,36,39.25,35,47,35.75,33,36.5,40,36.59,44.56,47.67,43,34.71,44.63,43.5,48.3,50.92,42.55,35.21,32.6,39.33,54.77,44.2,42.5,34.14,36,40.33
,Gram Dal,94.56,142,70,90,116,100.5,106.67,95.04,89.31,90,99.25,97,104,94,93.33,96.17,98.86,91.56,95.09,114.73,131,91.96,98.95,109.25,101.86,102.2,93.32,95.29,89.2,100.83,100.36,89.8,99.5,88.51,94,91.22
,Tur/Arhar Dal,159.72,193,117,160,170.5,171,174.33,161.43,155.11,165,161.75,158,168,164.25,167.33,162.92,163.67,158.12,154.66,173.09,170,155.96,167.26,178.67,158.83,165.38,156.61,165.64,165.8,170,170.59,163.3,155.75,151.84,168,164.5
,Urad Dal,124.17,173,85,120,151,132.5,126.67,109.52,121.67,125,119,138,150.5,122.88,117.33,133.17,129.14,122.24,129.94,142.9,139.5,118.46,129.11,133,132.83,123.86,118.23,133.36,120.8,126.67,136.73,128.8,125.25,118.52,118.5,124.56
,Moong Dal,115.49,160,87,120,125,121.75,116.67,115.43,112.81,116,115.5,118,125,110.25,118,115,122.86,113.65,116.47,132.09,130,109.19,120.84,124.38,138.29,121.62,113.74,115,109.6,126.67,120.45,116,112.5,109.71,114.5,117.06
,Masoor Dal,89.85,140,73,90,100,94.25,103.33,91.61,80.61,90,92.25,90,96,86.5,85.33,87.75,103.57,82.41,93.34,98.18,130,86.44,94.26,87.13,98.3,98.69,82.83,93,84.4,94.17,93,92.6,101.75,86.56,96.5,96.28
,Sugar,44.92,60,38,44,53,44,55,47.35,44.72,45,43.75,45,43,43,44.33,47.25,50.43,45.18,42.81,43.27,55,42.51,43.32,48.88,52.2,49.69,44.83,44.36,41.6,51.5,44.14,40.2,49.75,43.82,44.5,46.12
,Milk @,59.16,83,39,60,73.5,56.75,75.67,72.4,56.53,60,60,56,66,63.25,57,53,54,59.06,51.34,54.45,60,55.49,59.26,73.88,79.3,74.08,53.18,59.85,49.8,64.17,47.27,58.1,74.25,61.86,66.5,55.76
,Groundnut Oil (Packed),193.28,288,142,187,228,175.5,169,195.67,197.18,183,205,216,214.5,189.13,218.33,225.75,,198.92,186.94,227.33,,192.98,196,,174,,210,234.67,174.2,,209.18,168.5,,199.06,187.5,211.13
,Mustard Oil (Packed),170.06,212,124,181,180,176.5,179,170.48,166.92,139,165.5,178,191.5,175.63,160.33,188.17,192,170.94,173.88,199.13,189,165.6,182.56,162.88,177.63,156.31,179.83,170.71,143.2,188.67,189.4,163.8,179.5,161.84,169,168.22
,Vanaspati (Packed),145.03,198,92,143,167,134.75,138,145.63,142.6,124,125.75,167,173.5,140.5,146.67,162.67,159.29,147.76,131.63,176.3,180,139.93,149.11,157,131.67,156,149.24,167.07,124.6,140.83,161.82,114.33,139,141.18,152.5,141.65
,Soya Oil (Packed),144.13,198,101,154,,143.5,149,146.83,146.83,119,134,161,152.5,143,143.67,149.18,155.57,148.24,139.63,148,194,142.47,150.32,152.75,141.2,161.69,150.5,159.21,121.2,151.5,,116.13,154.25,141,148.5,137.56
,Sunflower Oil (Packed),151.94,253,108,159,136.5,155.5,166,150.89,157.03,120,144.5,163,162,144.13,152,151.75,162.75,160.87,149.59,162,,148.63,155.79,253,150.33,171.5,153.04,160.42,142,166.5,157.5,139,175,148.42,161.5,148.39
,Palm Oil (Packed),131.97,166,91,144,120,137.5,,121.4,126.64,100,127.25,141,127,137.43,123,114.5,130.67,125.71,129.44,151.67,,122.6,139.63,,121.5,146,137.28,143.09,106,,145.14,124.6,134.33,121.86,,123.81
,Gur,55.13,130,37,50,72.5,59,85.67,60.65,47.86,55,50.75,60,65,55.5,53.67,50.08,54.29,50.71,52.28,58.3,70,49.49,54.89,78,107.56,77.88,53.09,51.07,42.8,61,57.91,53.1,72.25,51.89,60.5,52.76
,Tea Loose,269.2,520,154,200,321,298.5,340,245.39,276.6,269,220.5,245,300,208.75,248.67,271.5,306.86,248.12,244.16,231.75,480,230.26,308.42,346.88,488.8,325,282.45,274.5,314.6,378.33,289,284.6,231.75,236.48,285.5,265.06
,Salt Pack (Iodised),22.12,31,10,27,19.5,18.5,20,13.13,23.5,28,20.25,27,28,18.75,24,27.92,27.86,24.88,17.81,15.18,28,16.23,24.21,19.5,29.8,18.31,25.78,26.71,18.6,21.33,25.95,19.6,10.5,25.79,29,24.71
,Potato,37.29,70,24,35,60,42.5,40,34.17,33.03,39,37.75,37,38,38.13,32,37.83,38.43,35.71,40.75,49.64,42.5,33.66,42.53,41.25,49.9,41.46,36.96,35.14,37,44.33,51.77,36.4,39.5,31.22,33,31.72
,Onion,53.67,100,24,60,100,53.75,61,57.22,49.64,52,56.75,50,50.5,44.88,52.33,58.17,62.71,54.12,46.91,75,70,43.72,56.79,70.5,65.1,75.54,54.7,53.79,44.2,67.5,61.18,46.1,63,46.78,59,55.22
,Tomato,51.75,127,19,50,95,40,73,61.77,54.36,60,39.25,50,35.5,44.88,62.33,57.58,58.14,53.18,37.81,42.18,80,45.64,44.21,54.63,93.8,72.46,54.26,51.71,56.8,67.5,47.32,42.1,64.5,46.01,43.5,60.33
