,Date 03/09/2026
Rice,46.21
Broken Rice,33.63
Wheat,31.66
Atta (Wheat),37.39
Gram Dal,87.65
Tur/Arhar Dal,123.88
Urad Dal,122.6
Moong Dal,111.81
Masoor Dal,90.36
Sugar,62.23
Milk @,61.12
Groundnut Oil (Packed),209.18
Mustard Oil (Packed),201.74
Vanaspati (Packed),167.45
Soya Oil (Packed),165.59
Sunflower Oil (Packed),192.71
Palm Oil (Packed),151.14
Gur,67.15
Tea Loose,276.31
Salt Pack (Iodised),22.36
Potato,22.74
Onion,50.07
Tomato,38.82
Bajra (whole),38.55
Jowar (whole),45.11
Maida (wheat),42.51
Ragi (whole),55.8
Suji (whole),47.26
Besan,96.25
Desi Ghee,698.52
Butter (Pasteurised),60.32
Eggs,83.56
Brinjal,43.01
Black Pepper (whole),88.44
Coriander (whole),43.21
Cummin Seed (whole),40.69
Red Chillies (whole),30.35
Turmeric (powder),16.66
Banana,50.04
Ginger,36.89
Garlic,44.84
