Date 17/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.23,64,,
Unit:(Rs./Kg.),Wheat,31.69,54,,
,Atta (Wheat),37.13,69,,
,Gram Dal,87.05,140,,
,Tur/Arhar Dal,115.19,182,,
,Urad Dal,114.01,170,,
,Moong Dal,110.66,150,,
,Masoor Dal,89.56,130,,
,Sugar,46.6,60,,
,Milk @,59.23,85,,
,Groundnut Oil (Packed),187.9,259,,
,Mustard Oil (Packed),187.67,257,,
,Vanaspati (Packed),157.05,237,,
,Soya Oil (Packed),146.7,198,,
,Sunflower Oil (Packed),163.36,231,,
,Palm Oil (Packed),132.62,179,,
,Gur,57.76,140,,
,Tea Loose,272.54,600,,
,Salt Pack (Iodised),21.54,35,,
,Potato,25.34,51,,
,Onion,26.7,62,,
,Tomato,38.26,120,,
