,Date 10/04/2026
Rice,43.11
Wheat,30.93
Atta (Wheat),36.77
Gram Dal,85.24
Tur/Arhar Dal,122.49
Urad Dal,117.8
Moong Dal,111.22
Masoor Dal,89.33
Sugar,46.43
Milk @,59.36
Groundnut Oil (Packed),199.83
Mustard Oil (Packed),188.54
Vanaspati (Packed),159.2
Soya Oil (Packed),157.04
Sunflower Oil (Packed),184.18
Palm Oil (Packed),143.3
Gur,57.18
Tea Loose,274.89
Salt Pack (Iodised),21.76
Potato,20.53
Onion,25.01
Tomato,26.82
Bajra (whole),37.57
Jowar (whole),43.83
Maida (wheat),41.96
Ragi (whole),54.85
Suji (whole),46.88
Besan,95.55
Desi Ghee,683.56
Butter (Pasteurised),59.01
Eggs,76.89
Brinjal,38.9
Black Pepper (whole),87.42
Coriander (whole),38.29
Cummin Seed (whole),40.87
Red Chillies (whole),28.56
Turmeric (powder),16.42
Banana,47.76
Ginger,24.94
Garlic,36.87
