Date 15/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.71,62,,
Unit:(Rs./Kg.),Wheat,31.69,54,,
,Atta (Wheat),37.07,71,,
,Gram Dal,86.43,140,,
,Tur/Arhar Dal,114.48,182,,
,Urad Dal,113.56,152,,
,Moong Dal,110.34,144,,
,Masoor Dal,88.99,132,,
,Sugar,46.52,60,,
,Milk @,59.36,84,,
,Groundnut Oil (Packed),184.94,280,,
,Mustard Oil (Packed),187.45,246,,
,Vanaspati (Packed),155.93,231,,
,Soya Oil (Packed),146.22,191,,
,Sunflower Oil (Packed),164.68,231,,
,Palm Oil (Packed),132.85,168,,
,Gur,57.09,125,,
,Tea Loose,267.91,520,,
,Salt Pack (Iodised),21.08,35,,
,Potato,26.77,54,,
,Onion,26.51,61,,
,Tomato,40.86,120,,
