,Date 08/07/2026
Rice,44.35
Broken Rice,33.04
Wheat,31.34
Atta (Wheat),36.99
Gram Dal,86.04
Tur/Arhar Dal,122.93
Urad Dal,119.49
Moong Dal,111.36
Masoor Dal,90.59
Sugar,47.27
Milk @,60.77
Groundnut Oil (Packed),204.81
Mustard Oil (Packed),193.54
Vanaspati (Packed),164.43
Soya Oil (Packed),163.1
Sunflower Oil (Packed),188.64
Palm Oil (Packed),147.37
Gur,58.98
Tea Loose,275.89
Salt Pack (Iodised),21.84
Potato,22.62
Onion,32.54
Tomato,42.5
Bajra (whole),38.06
Jowar (whole),44.19
Maida (wheat),42.15
Ragi (whole),55.1
Suji (whole),47.2
Besan,95.9
Desi Ghee,690.87
Butter (Pasteurised),59.59
Eggs,83.81
Brinjal,42.01
Black Pepper (whole),88.23
Coriander (whole),41.0
Cummin Seed (whole),41.22
Red Chillies (whole),29.49
Turmeric (powder),16.59
Banana,49.82
Ginger,35.4
Garlic,41.68
