,Date 05/03/2026
Rice,43.29
Wheat,31.39
Atta (Wheat),37.03
Gram Dal,85.8
Tur/Arhar Dal,121.81
Urad Dal,117.11
Moong Dal,110.77
Masoor Dal,89.82
Sugar,46.48
Milk @,59.31
Groundnut Oil (Packed),194.67
Mustard Oil (Packed),186.08
Vanaspati (Packed),156.29
Soya Oil (Packed),150.72
Sunflower Oil (Packed),175.23
Palm Oil (Packed),135.56
Gur,57.03
Tea Loose,274.84
Salt Pack (Iodised),21.61
Potato,21.53
Onion,26.85
Tomato,29.67
Bajra (whole),37.9
Jowar (whole),43.98
Maida (wheat),41.95
Ragi (whole),54.56
Suji (whole),46.96
Besan,95.91
Desi Ghee,681.65
Butter (Pasteurised),59.05
Eggs,80.8
Brinjal,39.4
Black Pepper (whole),87.14
Coriander (whole),38.29
Cummin Seed (whole),41.04
Red Chillies (whole),28.31
Turmeric (powder),16.36
Banana,47.78
Ginger,24.76
Garlic,38.35
