,Date 12/04/2026
Rice,42.17
Wheat,30.92
Atta (Wheat),36.88
Gram Dal,83.5
Tur/Arhar Dal,120.87
Urad Dal,117.12
Moong Dal,110.01
Masoor Dal,87.87
Sugar,45.92
Milk @,58.58
Groundnut Oil (Packed),200.87
Mustard Oil (Packed),187.99
Vanaspati (Packed),158.27
Soya Oil (Packed),158.14
Sunflower Oil (Packed),184.38
Palm Oil (Packed),144.48
Gur,55.72
Tea Loose,263.93
Salt Pack (Iodised),22.01
Potato,19.1
Onion,23.64
Tomato,25.29
Bajra (whole),37.2
Jowar (whole),43.45
Maida (wheat),41.08
Ragi (whole),55.25
Suji (whole),44.68
Besan,94.24
Desi Ghee,680.59
Butter (Pasteurised),58.74
Eggs,76.08
Brinjal,36.64
Black Pepper (whole),86.67
Coriander (whole),37.28
Cummin Seed (whole),39.57
Red Chillies (whole),28.19
Turmeric (powder),16.06
Banana,46.75
Ginger,24.47
Garlic,35.08
