,Date 23/09/2026
Rice,46.53
Broken Rice,34.05
Wheat,31.86
Atta (Wheat),37.66
Gram Dal,88.39
Tur/Arhar Dal,125.25
Urad Dal,123.11
Moong Dal,112.33
Masoor Dal,90.49
Sugar,57.51
Milk @,61.3
Groundnut Oil (Packed),209.83
Mustard Oil (Packed),202.87
Vanaspati (Packed),168.16
Soya Oil (Packed),166.87
Sunflower Oil (Packed),194.26
Palm Oil (Packed),153.89
Gur,66.71
Tea Loose,274.43
Salt Pack (Iodised),22.29
Potato,22.85
Onion,54.27
Tomato,39.54
Bajra (whole),38.68
Jowar (whole),45.16
Maida (wheat),42.64
Ragi (whole),55.9
Suji (whole),47.36
Besan,96.71
Desi Ghee,701.1
Butter (Pasteurised),60.55
Eggs,83.71
Brinjal,43.32
Black Pepper (whole),88.56
Coriander (whole),44.07
Cummin Seed (whole),40.73
Red Chillies (whole),30.49
Turmeric (powder),16.79
Banana,49.4
Ginger,35.94
Garlic,45.48
