Date 19/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.05,63,,
Unit:(Rs./Kg.),Wheat,31.68,54,,
,Atta (Wheat),37.07,71,,
,Gram Dal,86.79,140,,
,Tur/Arhar Dal,115.72,182,,
,Urad Dal,113.73,155,,
,Moong Dal,110.41,148,,
,Masoor Dal,89.58,134,,
,Sugar,46.53,60,,
,Milk @,59.27,84,,
,Groundnut Oil (Packed),187.53,280,,
,Mustard Oil (Packed),186.51,246,,
,Vanaspati (Packed),156.16,231,,
,Soya Oil (Packed),146.82,198,,
,Sunflower Oil (Packed),164.75,231,,
,Palm Oil (Packed),132.68,179,,
,Gur,57.12,128,,
,Tea Loose,272.48,600,,
,Salt Pack (Iodised),21.43,35,,
,Potato,26.82,60,,
,Onion,26.69,62,,
,Tomato,46.26,120,,
