Date 03/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.93,63,,
Unit:(Rs./Kg.),Wheat,31.77,54,,
,Atta (Wheat),37.1,71,,
,Gram Dal,86.67,140,,
,Tur/Arhar Dal,115.07,182,,
,Urad Dal,113.81,170,,
,Moong Dal,110.4,150,,
,Masoor Dal,89.39,130,,
,Sugar,46.5,60,,
,Milk @,59.35,83,,
,Groundnut Oil (Packed),187.56,286,,
,Mustard Oil (Packed),187.17,246,,
,Vanaspati (Packed),156.26,231,,
,Soya Oil (Packed),146.3,198,,
,Sunflower Oil (Packed),164.24,242,,
,Palm Oil (Packed),132.94,187,,
,Gur,57.27,130,,
,Tea Loose,269.85,560,,
,Salt Pack (Iodised),21.35,35,,
,Potato,26.37,60,,
,Onion,26.81,60,,
,Tomato,38.53,120,,
