,Date 01/04/2026
Rice,43.23
Wheat,31.11
Atta (Wheat),36.87
Gram Dal,85.66
Tur/Arhar Dal,122.46
Urad Dal,117.66
Moong Dal,111.28
Masoor Dal,89.72
Sugar,46.46
Milk @,59.48
Groundnut Oil (Packed),199.31
Mustard Oil (Packed),187.37
Vanaspati (Packed),158.6
Soya Oil (Packed),155.29
Sunflower Oil (Packed),182.59
Palm Oil (Packed),141.67
Gur,57.36
Tea Loose,273.17
Salt Pack (Iodised),21.67
Potato,20.57
Onion,25.4
Tomato,27.27
Bajra (whole),37.91
Jowar (whole),44.17
Maida (wheat),41.88
Ragi (whole),54.84
Suji (whole),46.94
Besan,95.59
Desi Ghee,681.38
Butter (Pasteurised),59.09
Eggs,77.34
Brinjal,38.65
Black Pepper (whole),87.33
Coriander (whole),38.11
Cummin Seed (whole),41.06
Red Chillies (whole),28.44
Turmeric (powder),16.43
Banana,48.24
Ginger,24.83
Garlic,37.08
