,Date 30/08/2026
Rice,45.53
Broken Rice,32.56
Wheat,31.8
Atta (Wheat),37.45
Gram Dal,86.08
Tur/Arhar Dal,122.36
Urad Dal,122.24
Moong Dal,110.73
Masoor Dal,88.56
Sugar,64.23
Milk @,59.94
Groundnut Oil (Packed),206.92
Mustard Oil (Packed),199.54
Vanaspati (Packed),166.08
Soya Oil (Packed),164.92
Sunflower Oil (Packed),192.17
Palm Oil (Packed),151.35
Gur,67.36
Tea Loose,265.52
Salt Pack (Iodised),22.61
Potato,21.89
Onion,48.31
Tomato,36.37
Bajra (whole),38.55
Jowar (whole),44.88
Maida (wheat),41.41
Ragi (whole),56.26
Suji (whole),44.89
Besan,95.44
Desi Ghee,696.37
Butter (Pasteurised),60.12
Eggs,83.52
Brinjal,41.51
Black Pepper (whole),87.95
Coriander (whole),42.22
Cummin Seed (whole),40.06
Red Chillies (whole),29.87
Turmeric (powder),16.25
Banana,48.45
Ginger,37.34
Garlic,43.42
