Date 02/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.12,65,,
Unit:(Rs./Kg.),Wheat,32.33,57,,
,Atta (Wheat),37.39,71,,
,Gram Dal,92.83,140,,
,Tur/Arhar Dal,156.09,185,,
,Urad Dal,123.38,165,,
,Moong Dal,113.38,150,,
,Masoor Dal,89.24,130,,
,Sugar,44.64,60,,
,Milk @,58.79,85,,
,Groundnut Oil (Packed),194.05,279,,
,Mustard Oil (Packed),168.82,221,,
,Vanaspati (Packed),145.72,209,,
,Soya Oil (Packed),142.81,194,,
,Sunflower Oil (Packed),152.83,209,,
,Palm Oil (Packed),133.13,170,,
,Gur,54.32,130,,
,Tea Loose,271.64,520,,
,Salt Pack (Iodised),22.17,31,,
,Potato,33.34,80,,
,Onion,42.58,90,,
,Tomato,37.6,103,,
