,Date 24/02/2026
Rice,43.16
Wheat,31.72
Atta (Wheat),37.26
Gram Dal,85.95
Tur/Arhar Dal,121.29
Urad Dal,116.68
Moong Dal,110.81
Masoor Dal,89.34
Sugar,46.42
Milk @,59.2
Groundnut Oil (Packed),193.81
Mustard Oil (Packed),186.37
Vanaspati (Packed),156.55
Soya Oil (Packed),150.25
Sunflower Oil (Packed),174.71
Palm Oil (Packed),135.95
Gur,57.03
Tea Loose,272.4
Salt Pack (Iodised),21.65
Potato,21.94
Onion,27.18
Tomato,30.85
Bajra (whole),37.91
Jowar (whole),44.02
Maida (wheat),42.0
Ragi (whole),54.15
Suji (whole),46.79
Besan,95.87
Desi Ghee,680.35
Butter (Pasteurised),58.93
Eggs,81.69
Brinjal,39.75
Black Pepper (whole),87.1
Coriander (whole),37.67
Cummin Seed (whole),40.77
Red Chillies (whole),28.14
Turmeric (powder),16.28
Banana,47.78
Ginger,24.9
Garlic,38.65
