Date 06/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.16,64,,
Unit:(Rs./Kg.),Wheat,31.78,54,,
,Atta (Wheat),37.16,70,,
,Gram Dal,86.98,136,,
,Tur/Arhar Dal,115.48,180,,
,Urad Dal,113.83,170,,
,Moong Dal,110.46,150,,
,Masoor Dal,89.56,140,,
,Sugar,46.51,60,,
,Milk @,59.21,83,,
,Groundnut Oil (Packed),187.96,254,,
,Mustard Oil (Packed),188.52,257,,
,Vanaspati (Packed),156.41,264,,
,Soya Oil (Packed),146.71,198,,
,Sunflower Oil (Packed),162.69,231,,
,Palm Oil (Packed),132.74,190,,
,Gur,57.11,140,,
,Tea Loose,271.85,600,,
,Salt Pack (Iodised),21.36,35,,
,Potato,25.24,57,,
,Onion,26.72,60,,
,Tomato,38.53,120,,
