Date 08/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.95,62,,
Unit:(Rs./Kg.),Wheat,31.62,54,,
,Atta (Wheat),37.01,71,,
,Gram Dal,85.86,140,,
,Tur/Arhar Dal,114.31,182,,
,Urad Dal,113.41,152,,
,Moong Dal,109.58,140,,
,Masoor Dal,88.57,130,,
,Sugar,46.61,60,,
,Milk @,59.56,83,,
,Groundnut Oil (Packed),186.54,280,,
,Mustard Oil (Packed),187.12,246,,
,Vanaspati (Packed),155.21,230,,
,Soya Oil (Packed),146.19,191,,
,Sunflower Oil (Packed),163.74,209,,
,Palm Oil (Packed),132.55,168,,
,Gur,57.23,130,,
,Tea Loose,268.36,560,,
,Salt Pack (Iodised),21.51,35,,
,Potato,25.44,53,,
,Onion,26.41,60,,
,Tomato,38.11,120,,
