Date 08/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.7,64,,
Unit:(Rs./Kg.),Wheat,31.19,55,,
,Atta (Wheat),36.91,71,,
,Gram Dal,86.53,140,,
,Tur/Arhar Dal,127.03,185,,
,Urad Dal,117.96,155,,
,Moong Dal,111.57,150,,
,Masoor Dal,87.95,130,,
,Sugar,45.79,60,,
,Milk @,58.84,82,,
,Groundnut Oil (Packed),190.41,279,,
,Mustard Oil (Packed),169.38,242,,
,Vanaspati (Packed),155.12,218,,
,Soya Oil (Packed),146.85,186,,
,Sunflower Oil (Packed),160.8,206,,
,Palm Oil (Packed),136.03,189,,
,Gur,54.64,120,,
,Tea Loose,271.01,527,,
,Salt Pack (Iodised),21.55,32,,
,Potato,24.12,60,,
,Onion,27.29,67,,
,Tomato,22.34,100,,
