Date 17/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.86,66,,
Unit:(Rs./Kg.),Wheat,31.23,55,,
,Atta (Wheat),36.7,71,,
,Gram Dal,86.46,140,,
,Tur/Arhar Dal,123.31,183,,
,Urad Dal,116.05,157,,
,Moong Dal,111.35,148,,
,Masoor Dal,88.27,130,,
,Sugar,45.93,60,,
,Milk @,58.97,83,,
,Groundnut Oil (Packed),188.89,279,,
,Mustard Oil (Packed),171.61,242,,
,Vanaspati (Packed),156.01,231,,
,Soya Oil (Packed),146.52,189,,
,Sunflower Oil (Packed),160.07,231,,
,Palm Oil (Packed),131.56,182,,
,Gur,55.29,137,,
,Tea Loose,270.71,600,,
,Salt Pack (Iodised),21.39,32,,
,Potato,25.29,60,,
,Onion,26.89,73,,
,Tomato,33.62,103,,
