,Date 31/07/2026
Rice,45.09
Broken Rice,33.04
Wheat,31.33
Atta (Wheat),37.19
Gram Dal,86.53
Tur/Arhar Dal,123.43
Urad Dal,121.53
Moong Dal,111.97
Masoor Dal,90.44
Sugar,49.27
Milk @,60.96
Groundnut Oil (Packed),206.04
Mustard Oil (Packed),196.69
Vanaspati (Packed),165.76
Soya Oil (Packed),164.62
Sunflower Oil (Packed),189.48
Palm Oil (Packed),148.4
Gur,59.75
Tea Loose,275.39
Salt Pack (Iodised),22.09
Potato,22.78
Onion,35.36
Tomato,39.41
Bajra (whole),38.32
Jowar (whole),44.57
Maida (wheat),42.29
Ragi (whole),55.29
Suji (whole),47.27
Besan,96.02
Desi Ghee,695.63
Butter (Pasteurised),60.05
Eggs,87.16
Brinjal,43.95
Black Pepper (whole),88.52
Coriander (whole),42.05
Cummin Seed (whole),40.95
Red Chillies (whole),29.81
Turmeric (powder),16.77
Banana,50.15
Ginger,37.5
Garlic,43.47
