Date 03/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.59,63,,
Unit:(Rs./Kg.),Wheat,31.67,54,,
,Atta (Wheat),36.97,66,,
,Gram Dal,85.54,120,,
,Tur/Arhar Dal,116.79,180,,
,Urad Dal,114.25,157,,
,Moong Dal,109.44,148,,
,Masoor Dal,87.59,120,,
,Sugar,45.74,60,,
,Milk @,58.53,83,,
,Groundnut Oil (Packed),186.79,254,,
,Mustard Oil (Packed),186.58,242,,
,Vanaspati (Packed),154.95,231,,
,Soya Oil (Packed),147.41,198,,
,Sunflower Oil (Packed),159.77,253,,
,Palm Oil (Packed),130.19,177,,
,Gur,55.33,123,,
,Tea Loose,264.81,600,,
,Salt Pack (Iodised),21.2,33,,
,Potato,25.04,57,,
,Onion,26.98,60,,
,Tomato,48.88,120,,
