,Date 23/03/2026
Rice,43.15
Wheat,31.26
Atta (Wheat),36.9
Gram Dal,85.74
Tur/Arhar Dal,122.36
Urad Dal,117.56
Moong Dal,111.17
Masoor Dal,89.6
Sugar,46.5
Milk @,59.41
Groundnut Oil (Packed),198.11
Mustard Oil (Packed),187.06
Vanaspati (Packed),157.76
Soya Oil (Packed),153.65
Sunflower Oil (Packed),181.04
Palm Oil (Packed),140.46
Gur,57.21
Tea Loose,271.63
Salt Pack (Iodised),21.63
Potato,20.64
Onion,25.58
Tomato,27.71
Bajra (whole),37.94
Jowar (whole),44.06
Maida (wheat),41.8
Ragi (whole),55.16
Suji (whole),46.79
Besan,95.71
Desi Ghee,680.82
Butter (Pasteurised),59.03
Eggs,78.68
Brinjal,38.19
Black Pepper (whole),87.17
Coriander (whole),37.9
Cummin Seed (whole),40.81
Red Chillies (whole),28.33
Turmeric (powder),16.39
Banana,48.19
Ginger,24.82
Garlic,37.29
