Date 16/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.79,66,,
Unit:(Rs./Kg.),Wheat,31.16,55,,
,Atta (Wheat),36.69,71,,
,Gram Dal,86.48,140,,
,Tur/Arhar Dal,123.34,183,,
,Urad Dal,116.29,157,,
,Moong Dal,111.33,148,,
,Masoor Dal,88.3,130,,
,Sugar,45.92,60,,
,Milk @,58.96,83,,
,Groundnut Oil (Packed),188.35,279,,
,Mustard Oil (Packed),171.33,242,,
,Vanaspati (Packed),155.93,231,,
,Soya Oil (Packed),146.61,189,,
,Sunflower Oil (Packed),160.19,231,,
,Palm Oil (Packed),131.36,182,,
,Gur,55.37,137,,
,Tea Loose,270.8,600,,
,Salt Pack (Iodised),21.37,32,,
,Potato,25.36,60,,
,Onion,26.72,73,,
,Tomato,33.14,103,,
