Date 28/10/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.56,68,30,40,51.33,53.5,44.5,41.91,38.25,44,39.14,40,47.67,54.5,37.71,39,41.17,46.17,39.06,53.81,49.08,48,38.14,48.26,50,37.4,49.7,42.81,38.71,65,39.8,42.52,49.33,58.03,56.4,37.75,39.44,38,44.18
Unit:(Rs./Kg.),Wheat,31.61,55,22,28,,42,45,35.46,28.89,31,35.43,30,39,50,33.71,29.5,24,33.4,31.44,42.26,47.82,,29.73,40.11,46,42.22,43.14,42.25,37.82,48,26.87,29.14,38.83,45.66,40.7,,28.18,28,30.67
,Atta (Wheat),36.64,70,28,35,69,44.5,43,38.78,34.83,36,38.29,34,44.67,45,35.29,34,35.58,39.17,36.06,44.42,46.31,45,34.31,44.42,48,40.9,46.9,48.38,41.74,44,32.4,33.41,39.33,54.81,44.4,39.75,33.66,35.5,38.82
,Gram Dal,94.97,145,70,90,110,101.25,103,95.35,88.83,90,96.86,100,99.33,106.5,94.29,91.75,99.08,98.67,93.24,95.61,110.83,129,92.64,99.63,117,110.17,101.13,96.08,96.48,91,99.47,89.9,97,102.58,91.6,100.33,88.92,87,90.5
,Tur/Arhar Dal,161.99,194,124,160,175.33,170.5,179.5,168.3,156.03,165,161.43,163,161.67,166.5,167,166.5,167.42,170,160.89,159.42,175.45,180,156.88,166.11,178,179.2,155.71,164.9,156.33,182,167.87,163.1,170,170,163.8,164,154.47,164.25,164.09
,Urad Dal,125.03,170,85,120,163,130.75,128.25,109.38,121.83,125,119.86,143,142.33,155,124.14,118,132.92,129.67,122.33,131.35,141.18,138.5,118.2,130.26,136,133,135.43,121.11,117.78,149,131.33,120.72,124.33,139.16,128.7,129,120.26,120,125.09
,Moong Dal,116.34,160,87,120,137.33,119.75,118.25,116.61,113.39,116,116.14,123,125.33,131.5,112.29,116.75,115.5,122.67,113.56,119.45,130.75,126.5,109.58,120.21,128,122.7,137.14,121.31,113.75,115,118.13,107.83,126.67,121.81,116,112,112.29,116.25,118.32
,Masoor Dal,90.05,140,74,90,103.33,92.25,101.25,91.74,80.78,90,90,90,92.33,100.5,84,86,87.42,106.67,82.33,93.52,96.5,128.5,86.66,93.32,92,87.9,98.3,97.5,82.58,93,93.33,86.66,95.83,92.18,93.5,106.75,87.67,96,96.91
,Sugar,44.98,60,37,44,54,43.75,53.75,47.43,44.49,45,44.14,45,44,44,43.14,44.75,47,50.17,45.47,42.77,43.92,55,42.82,43.68,54,49.4,50.9,50.8,44.7,48,44.6,42.79,51.5,44.19,40.3,49.25,43.99,44,46.14
,Milk @,58.66,83,40,60,73.67,56.75,75.25,72.53,56.17,60,58.43,56,65.67,59,63,58.25,52.92,55.83,59.31,51.35,54.58,60,55.63,59.21,,73.6,78.6,73.08,52.81,48,60,52.69,64.17,47.19,58.1,74.25,61.78,62,55.59
,Groundnut Oil (Packed),194.85,275,132,187,237,178.5,169,203.86,189.18,183,203,216,218.67,241,186.86,211.5,225.75,,191.64,182.48,231.67,,192.84,196.79,,,152,200,201.4,232,231.62,187,,216.77,168.5,,198.86,167,206.22
,Mustard Oil (Packed),165.35,209,124,165,163.33,173.75,176.67,166.19,155.54,139,165.71,178,190.33,183,170.43,155.25,184.92,191.6,170.33,169.81,190.4,172.5,163.12,181.28,181,160.9,184.71,149.94,178.09,147,169.33,152.9,189.33,182.79,162.7,175.5,160.36,154,163.55
,Vanaspati (Packed),139.44,183,92,137,162.67,133.25,129,139.5,133.4,124,129.43,159,159.67,161,137.29,133.75,155.42,153.67,142.17,125.61,163.83,169,135.59,146.11,154,157,134.14,152.33,138.74,144,158.33,130.18,142.17,149.87,111.11,139,138.38,143.5,136.29
,Soya Oil (Packed),138.58,198,92,148,,130.5,141.75,141.05,136.33,119,134.43,156,151.67,165,138.43,134.5,145.4,147.83,142.72,134.68,146,190,137.72,144.89,154,148.3,128.6,156.44,141.71,,147.73,131.26,155.5,,114.38,143.75,138.07,139,131.14
