,Date 11/06/2026
Rice,43.56
Broken Rice,33.53
Wheat,30.85
Atta (Wheat),36.78
Gram Dal,85.37
Tur/Arhar Dal,122.37
Urad Dal,118.43
Moong Dal,111.56
Masoor Dal,89.97
Sugar,46.89
Milk @,60.46
Groundnut Oil (Packed),202.42
Mustard Oil (Packed),191.05
Vanaspati (Packed),162.63
Soya Oil (Packed),161.75
Sunflower Oil (Packed),186.71
Palm Oil (Packed),146.61
Gur,58.28
Tea Loose,273.87
Salt Pack (Iodised),21.79
Potato,21.57
Onion,26.86
Tomato,41.55
Bajra (whole),37.93
Jowar (whole),44.15
Maida (wheat),41.93
Ragi (whole),54.89
Suji (whole),46.95
Besan,95.77
Desi Ghee,687.52
Butter (Pasteurised),59.2
Eggs,80.01
Brinjal,41.38
Black Pepper (whole),87.91
Coriander (whole),39.79
Cummin Seed (whole),41.18
Red Chillies (whole),29.19
Turmeric (powder),16.5
Banana,48.78
Ginger,29.55
Garlic,38.77
