,Date 08/09/2026
Rice,46.26
Broken Rice,33.75
Wheat,31.71
Atta (Wheat),37.42
Gram Dal,87.83
Tur/Arhar Dal,123.99
Urad Dal,122.55
Moong Dal,111.92
Masoor Dal,90.48
Sugar,60.53
Milk @,61.14
Groundnut Oil (Packed),209.54
Mustard Oil (Packed),201.88
Vanaspati (Packed),167.73
Soya Oil (Packed),165.79
Sunflower Oil (Packed),192.79
Palm Oil (Packed),151.36
Gur,66.93
Tea Loose,276.24
Salt Pack (Iodised),22.34
Potato,22.77
Onion,52.23
Tomato,39.1
Bajra (whole),38.72
Jowar (whole),45.18
Maida (wheat),42.59
Ragi (whole),56.02
Suji (whole),47.37
Besan,96.54
Desi Ghee,699.02
Butter (Pasteurised),60.4
Eggs,83.63
Brinjal,42.86
Black Pepper (whole),88.54
Coriander (whole),43.44
Cummin Seed (whole),40.68
Red Chillies (whole),30.44
Turmeric (powder),16.66
Banana,50.04
Ginger,36.84
Garlic,45.11
