,Date 29/03/2026
Rice,42.13
Wheat,31.4
Atta (Wheat),37.16
Gram Dal,84.08
Tur/Arhar Dal,120.93
Urad Dal,117.58
Moong Dal,110.08
Masoor Dal,88.19
Sugar,45.98
Milk @,58.44
Groundnut Oil (Packed),199.34
Mustard Oil (Packed),186.3
Vanaspati (Packed),157.12
Soya Oil (Packed),155.79
Sunflower Oil (Packed),183.19
Palm Oil (Packed),143.62
Gur,55.93
Tea Loose,263.38
Salt Pack (Iodised),22.08
Potato,19.44
Onion,24.24
Tomato,25.43
Bajra (whole),37.39
Jowar (whole),43.5
Maida (wheat),40.83
Ragi (whole),55.45
Suji (whole),44.6
Besan,94.9
Desi Ghee,681.81
Butter (Pasteurised),58.71
Eggs,76.93
Brinjal,36.89
Black Pepper (whole),86.64
Coriander (whole),36.67
Cummin Seed (whole),40.08
Red Chillies (whole),28.07
Turmeric (powder),15.96
Banana,47.44
Ginger,24.3
Garlic,35.46
