,Date 03/08/2026
Rice,45.13
Broken Rice,33.05
Wheat,31.35
Atta (Wheat),37.17
Gram Dal,86.66
Tur/Arhar Dal,123.46
Urad Dal,121.51
Moong Dal,111.96
Masoor Dal,90.63
Sugar,49.53
Milk @,61.03
Groundnut Oil (Packed),206.19
Mustard Oil (Packed),196.85
Vanaspati (Packed),165.59
Soya Oil (Packed),164.14
Sunflower Oil (Packed),189.95
Palm Oil (Packed),148.32
Gur,59.98
Tea Loose,277.12
Salt Pack (Iodised),22.04
Potato,22.76
Onion,35.59
Tomato,38.84
Bajra (whole),38.13
Jowar (whole),44.41
Maida (wheat),42.31
Ragi (whole),55.4
Suji (whole),47.26
Besan,96.12
Desi Ghee,694.15
Butter (Pasteurised),59.93
Eggs,86.59
Brinjal,43.81
Black Pepper (whole),88.35
Coriander (whole),41.89
Cummin Seed (whole),41.24
Red Chillies (whole),29.9
Turmeric (powder),16.76
Banana,50.54
Ginger,37.43
Garlic,43.5
