,Date 02/07/2026
Rice,44.09
Broken Rice,32.92
Wheat,31.18
Atta (Wheat),36.88
Gram Dal,85.89
Tur/Arhar Dal,122.7
Urad Dal,119.01
Moong Dal,111.3
Masoor Dal,90.19
Sugar,46.98
Milk @,60.59
Groundnut Oil (Packed),204.76
Mustard Oil (Packed),193.69
Vanaspati (Packed),164.18
Soya Oil (Packed),162.73
Sunflower Oil (Packed),188.6
Palm Oil (Packed),147.76
Gur,58.5
Tea Loose,273.72
Salt Pack (Iodised),21.9
Potato,22.18
Onion,30.55
Tomato,42.38
Bajra (whole),38.05
Jowar (whole),44.31
Maida (wheat),42.23
Ragi (whole),55.04
Suji (whole),47.12
Besan,95.92
Desi Ghee,690.16
Butter (Pasteurised),59.51
Eggs,82.75
Brinjal,41.47
Black Pepper (whole),88.1
Coriander (whole),40.62
Cummin Seed (whole),40.77
Red Chillies (whole),29.3
Turmeric (powder),16.47
Banana,49.28
Ginger,33.16
Garlic,40.73
