,Date 08/04/2026
Rice,43.2
Wheat,30.99
Atta (Wheat),36.86
Gram Dal,85.35
Tur/Arhar Dal,122.68
Urad Dal,117.65
Moong Dal,111.32
Masoor Dal,89.38
Sugar,46.5
Milk @,59.58
Groundnut Oil (Packed),199.82
Mustard Oil (Packed),188.43
Vanaspati (Packed),159.25
Soya Oil (Packed),156.79
Sunflower Oil (Packed),183.97
Palm Oil (Packed),143.31
Gur,57.26
Tea Loose,273.67
Salt Pack (Iodised),21.69
Potato,20.31
Onion,25.12
Tomato,26.82
Bajra (whole),37.64
Jowar (whole),43.82
Maida (wheat),41.85
Ragi (whole),54.65
Suji (whole),46.94
Besan,95.8
Desi Ghee,684.64
Butter (Pasteurised),58.96
Eggs,77.09
Brinjal,38.64
Black Pepper (whole),87.49
Coriander (whole),38.27
Cummin Seed (whole),40.91
Red Chillies (whole),28.56
Turmeric (powder),16.42
Banana,48.0
Ginger,24.93
Garlic,36.83
