,Date 17/02/2026
Rice,43.05
Wheat,31.78
Atta (Wheat),37.31
Gram Dal,86.12
Tur/Arhar Dal,120.86
Urad Dal,116.29
Moong Dal,111.0
Masoor Dal,89.49
Sugar,46.43
Milk @,59.25
Groundnut Oil (Packed),193.47
Mustard Oil (Packed),186.62
Vanaspati (Packed),156.82
Soya Oil (Packed),150.05
Sunflower Oil (Packed),173.66
Palm Oil (Packed),136.1
Gur,57.17
Tea Loose,272.87
Salt Pack (Iodised),21.64
Potato,22.32
Onion,27.65
Tomato,32.27
Bajra (whole),37.95
Jowar (whole),43.7
Maida (wheat),41.91
Ragi (whole),54.56
Suji (whole),46.84
Besan,96.03
Desi Ghee,680.43
Butter (Pasteurised),58.99
Eggs,82.36
Brinjal,40.01
Black Pepper (whole),87.24
Coriander (whole),37.83
Cummin Seed (whole),41.09
Red Chillies (whole),28.21
Turmeric (powder),16.36
Banana,47.6
Ginger,24.9
Garlic,39.16
