Date 09/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.91,69,,
Unit:(Rs./Kg.),Wheat,31.74,53,,
,Atta (Wheat),37.04,69,,
,Gram Dal,87.11,140,,
,Tur/Arhar Dal,116.23,182,,
,Urad Dal,113.92,157,,
,Moong Dal,110.31,142,,
,Masoor Dal,89.48,133,,
,Sugar,46.38,60,,
,Milk @,59.37,85,,
,Groundnut Oil (Packed),187.7,254,,
,Mustard Oil (Packed),188.48,249,,
,Vanaspati (Packed),156.29,231,,
,Soya Oil (Packed),147.38,198,,
,Sunflower Oil (Packed),162.14,253,,
,Palm Oil (Packed),131.92,190,,
,Gur,56.42,130,,
,Tea Loose,271.87,600,,
,Salt Pack (Iodised),21.43,33,,
,Potato,25.15,52,,
,Onion,27.79,60,,
,Tomato,44.35,120,,
