,Date 09/07/2026
Rice,44.35
Broken Rice,33.17
Wheat,31.28
Atta (Wheat),36.99
Gram Dal,86.02
Tur/Arhar Dal,123.17
Urad Dal,119.65
Moong Dal,111.7
Masoor Dal,90.53
Sugar,47.34
Milk @,60.76
Groundnut Oil (Packed),205.34
Mustard Oil (Packed),193.91
Vanaspati (Packed),164.56
Soya Oil (Packed),163.1
Sunflower Oil (Packed),188.72
Palm Oil (Packed),147.7
Gur,59.02
Tea Loose,275.49
Salt Pack (Iodised),22.11
Potato,22.63
Onion,33.0
Tomato,42.11
Bajra (whole),38.25
Jowar (whole),44.55
Maida (wheat),42.14
Ragi (whole),55.14
Suji (whole),47.24
Besan,95.97
Desi Ghee,692.4
Butter (Pasteurised),59.62
Eggs,84.05
Brinjal,41.94
Black Pepper (whole),88.25
Coriander (whole),40.85
Cummin Seed (whole),41.0
Red Chillies (whole),29.48
Turmeric (powder),16.6
Banana,49.83
Ginger,35.88
Garlic,41.69
