Date 12/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.9,66,,
Unit:(Rs./Kg.),Wheat,32.59,55,,
,Atta (Wheat),37.97,71,,
,Gram Dal,89.23,140,,
,Tur/Arhar Dal,135.44,182,,
,Urad Dal,120.43,156,,
,Moong Dal,112.57,150,,
,Masoor Dal,88.58,130,,
,Sugar,45.52,60,,
,Milk @,58.34,80,,
,Groundnut Oil (Packed),191.65,279,,
,Mustard Oil (Packed),167.99,224,,
,Vanaspati (Packed),151.28,209,,
,Soya Oil (Packed),145.49,198,,
,Sunflower Oil (Packed),158.09,211,,
,Palm Oil (Packed),138.11,180,,
,Gur,53.96,130,,
,Tea Loose,272.46,520,,
,Salt Pack (Iodised),21.43,31,,
,Potato,24.24,60,,
,Onion,35.83,80,,
,Tomato,21.62,100,,
