Date 07/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.36,65,,
Unit:(Rs./Kg.),Wheat,32.43,58,,
,Atta (Wheat),37.43,72,,
,Gram Dal,93.35,140,,
,Tur/Arhar Dal,155.33,193,,
,Urad Dal,123.96,170,,
,Moong Dal,113.89,150,,
,Masoor Dal,89.26,130,,
,Sugar,44.65,60,,
,Milk @,58.98,85,,
,Groundnut Oil (Packed),193.59,290,,
,Mustard Oil (Packed),169.28,221,,
,Vanaspati (Packed),147.15,211,,
,Soya Oil (Packed),143.2,194,,
,Sunflower Oil (Packed),154.16,209,,
,Palm Oil (Packed),134.94,176,,
,Gur,54.7,130,,
,Tea Loose,271.73,520,,
,Salt Pack (Iodised),21.99,32,,
,Potato,32.93,70,,
,Onion,41.56,87,,
,Tomato,34.64,103,,
