,Date 09/08/2026
Rice,44.63
Broken Rice,32.13
Wheat,31.45
Atta (Wheat),37.37
Gram Dal,85.05
Tur/Arhar Dal,121.96
Urad Dal,121.46
Moong Dal,110.5
Masoor Dal,88.56
Sugar,50.42
Milk @,59.63
Groundnut Oil (Packed),205.37
Mustard Oil (Packed),195.17
Vanaspati (Packed),163.87
Soya Oil (Packed),163.59
Sunflower Oil (Packed),190.2
Palm Oil (Packed),149.66
Gur,58.94
Tea Loose,265.79
Salt Pack (Iodised),22.35
Potato,21.93
Onion,34.53
Tomato,36.39
Bajra (whole),38.06
Jowar (whole),44.53
Maida (wheat),41.23
Ragi (whole),56.0
Suji (whole),44.6
Besan,95.1
Desi Ghee,693.43
Butter (Pasteurised),59.98
Eggs,84.65
Brinjal,41.62
Black Pepper (whole),87.6
Coriander (whole),40.87
Cummin Seed (whole),40.19
Red Chillies (whole),29.43
Turmeric (powder),16.25
Banana,48.68
Ginger,37.65
Garlic,41.89
