,Date 18/09/2026
Rice,46.26
Broken Rice,33.84
Wheat,31.77
Atta (Wheat),37.39
Gram Dal,88.07
Tur/Arhar Dal,124.43
Urad Dal,122.68
Moong Dal,111.94
Masoor Dal,89.79
Sugar,58.55
Milk @,61.15
Groundnut Oil (Packed),209.31
Mustard Oil (Packed),202.07
Vanaspati (Packed),168.08
Soya Oil (Packed),166.61
Sunflower Oil (Packed),193.18
Palm Oil (Packed),152.52
Gur,66.78
Tea Loose,274.24
Salt Pack (Iodised),22.29
Potato,22.97
Onion,53.86
Tomato,39.09
Bajra (whole),38.47
Jowar (whole),45.12
Maida (wheat),42.7
Ragi (whole),55.77
Suji (whole),47.38
Besan,96.57
Desi Ghee,699.86
Butter (Pasteurised),60.5
Eggs,83.68
Brinjal,43.13
Black Pepper (whole),88.35
Coriander (whole),43.72
Cummin Seed (whole),40.81
Red Chillies (whole),30.39
Turmeric (powder),16.72
Banana,49.27
Ginger,35.86
Garlic,45.05
