,Date 24/08/2026
Rice,46.05
Broken Rice,33.41
Wheat,31.46
Atta (Wheat),37.3
Gram Dal,87.46
Tur/Arhar Dal,123.93
Urad Dal,122.36
Moong Dal,112.17
Masoor Dal,90.5
Sugar,63.05
Milk @,61.17
Groundnut Oil (Packed),207.91
Mustard Oil (Packed),200.2
Vanaspati (Packed),166.97
Soya Oil (Packed),165.02
Sunflower Oil (Packed),191.65
Palm Oil (Packed),149.22
Gur,65.81
Tea Loose,276.92
Salt Pack (Iodised),22.19
Potato,22.97
Onion,43.53
Tomato,38.51
Bajra (whole),38.56
Jowar (whole),44.93
Maida (wheat),42.49
Ragi (whole),55.54
Suji (whole),47.43
Besan,96.43
Desi Ghee,697.73
Butter (Pasteurised),60.27
Eggs,83.86
Brinjal,43.46
Black Pepper (whole),88.46
Coriander (whole),42.87
Cummin Seed (whole),41.01
Red Chillies (whole),30.26
Turmeric (powder),16.62
Banana,50.66
Ginger,37.21
Garlic,44.42
