Date 24/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.08,65,,
Unit:(Rs./Kg.),Wheat,32.65,55,,
,Atta (Wheat),37.62,71,,
,Gram Dal,92.44,140,,
,Tur/Arhar Dal,150.19,187,,
,Urad Dal,122.94,166,,
,Moong Dal,113.38,150,,
,Masoor Dal,89.1,130,,
,Sugar,44.71,60,,
,Milk @,58.53,82,,
,Groundnut Oil (Packed),193.01,279,,
,Mustard Oil (Packed),168.75,228,,
,Vanaspati (Packed),147.73,209,,
,Soya Oil (Packed),143.7,192,,
,Sunflower Oil (Packed),154.26,209,,
,Palm Oil (Packed),135.29,176,,
,Gur,54.55,130,,
,Tea Loose,271.92,520,,
,Salt Pack (Iodised),21.75,31,,
,Potato,29.55,70,,
,Onion,37.94,87,,
,Tomato,28.3,100,,
