,Date 27/05/2026
Rice,43.03
Wheat,30.76
Atta (Wheat),36.67
Gram Dal,84.87
Tur/Arhar Dal,122.32
Urad Dal,118.05
Moong Dal,111.06
Masoor Dal,89.74
Sugar,46.79
Milk @,60.49
Groundnut Oil (Packed),201.51
Mustard Oil (Packed),189.4
Vanaspati (Packed),160.94
Soya Oil (Packed),161.07
Sunflower Oil (Packed),185.24
Palm Oil (Packed),144.62
Gur,57.94
Tea Loose,274.89
Salt Pack (Iodised),21.88
Potato,20.88
Onion,25.77
Tomato,36.85
Bajra (whole),37.59
Jowar (whole),43.73
Maida (wheat),41.74
Ragi (whole),54.87
Suji (whole),46.91
Besan,95.11
Desi Ghee,685.77
Butter (Pasteurised),59.09
Eggs,79.39
Brinjal,40.9
Black Pepper (whole),87.78
Coriander (whole),39.18
Cummin Seed (whole),41.03
Red Chillies (whole),29.1
Turmeric (powder),16.56
Banana,48.21
Ginger,27.88
Garlic,37.45
