Date 11/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.77,64,,
Unit:(Rs./Kg.),Wheat,31.69,58,,
,Atta (Wheat),37.57,71,,
,Gram Dal,87.43,140,,
,Tur/Arhar Dal,129.53,184,,
,Urad Dal,119.04,156,,
,Moong Dal,112.25,150,,
,Masoor Dal,88.41,130,,
,Sugar,45.77,60,,
,Milk @,58.91,80,,
,Groundnut Oil (Packed),190.5,279,,
,Mustard Oil (Packed),169.21,234,,
,Vanaspati (Packed),153.96,211,,
,Soya Oil (Packed),146.82,211,,
,Sunflower Oil (Packed),160.16,211,,
,Palm Oil (Packed),138.68,177,,
,Gur,54.8,130,,
,Tea Loose,269.45,520,,
,Salt Pack (Iodised),21.34,31,,
,Potato,23.58,57,,
,Onion,30.45,80,,
,Tomato,21.06,100,,
