,Date 14/01/2026
Rice,42.77
Wheat,31.94
Atta (Wheat),37.34
Gram Dal,86.07
Tur/Arhar Dal,115.97
Urad Dal,114.42
Moong Dal,110.7
Masoor Dal,90.06
Sugar,46.49
Milk @,59.26
Groundnut Oil (Packed),190.94
Mustard Oil (Packed),186.09
Vanaspati (Packed),157.13
Soya Oil (Packed),147.05
Sunflower Oil (Packed),168.29
Palm Oil (Packed),133.39
Gur,57.76
Tea Loose,270.7
Salt Pack (Iodised),21.72
Potato,23.37
Onion,29.24
Tomato,47.43
Bajra (whole),37.92
Jowar (whole),43.68
Maida (wheat),41.81
Ragi (whole),54.46
Suji (whole),47.13
Besan,96.03
Desi Ghee,677.33
Butter (Pasteurised),59.22
Eggs,85.8
Brinjal,42.3
Black Pepper (whole),86.94
Coriander (whole),37.99
Cummin Seed (whole),41.73
Red Chillies (whole),28.17
Turmeric (powder),16.25
Banana,47.45
Ginger,24.47
Garlic,38.78
