Date 23/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.75,63,,
Unit:(Rs./Kg.),Wheat,31.39,55,,
,Atta (Wheat),36.72,71,,
,Gram Dal,86.41,140,,
,Tur/Arhar Dal,119.86,183,,
,Urad Dal,114.84,157,,
,Moong Dal,110.5,148,,
,Masoor Dal,88.37,130,,
,Sugar,45.95,60,,
,Milk @,59.07,83,,
,Groundnut Oil (Packed),188.32,279,,
,Mustard Oil (Packed),181.44,253,,
,Vanaspati (Packed),156.4,231,,
,Soya Oil (Packed),147.07,198,,
,Sunflower Oil (Packed),160.64,253,,
,Palm Oil (Packed),130.54,177,,
,Gur,55.91,128,,
,Tea Loose,272.55,600,,
,Salt Pack (Iodised),21.44,32,,
,Potato,25.71,60,,
,Onion,28.22,60,,
,Tomato,43.06,120,,
