Date 18/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.72,65,,
Unit:(Rs./Kg.),Wheat,31.32,55,,
,Atta (Wheat),36.65,71,,
,Gram Dal,86.46,140,,
,Tur/Arhar Dal,123.23,183,,
,Urad Dal,115.93,157,,
,Moong Dal,111.22,148,,
,Masoor Dal,88.22,130,,
,Sugar,45.88,60,,
,Milk @,59.02,83,,
,Groundnut Oil (Packed),189.18,279,,
,Mustard Oil (Packed),171.54,242,,
,Vanaspati (Packed),155.67,231,,
,Soya Oil (Packed),146.62,189,,
,Sunflower Oil (Packed),160.1,231,,
,Palm Oil (Packed),131.31,182,,
,Gur,55.21,137,,
,Tea Loose,270.28,600,,
,Salt Pack (Iodised),21.36,32,,
,Potato,25.36,60,,
,Onion,26.95,73,,
,Tomato,33.78,107,,
