Date 11/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.11,61,,
Unit:(Rs./Kg.),Wheat,31.51,53,,
,Atta (Wheat),36.99,71,,
,Gram Dal,86.57,122,,
,Tur/Arhar Dal,114.68,180,,
,Urad Dal,114.15,170,,
,Moong Dal,110.24,150,,
,Masoor Dal,89.03,140,,
,Sugar,46.75,60,,
,Milk @,59.74,85,,
,Groundnut Oil (Packed),187.11,279,,
,Mustard Oil (Packed),188.36,257,,
,Vanaspati (Packed),156.59,264,,
,Soya Oil (Packed),146.53,198,,
,Sunflower Oil (Packed),163.03,253,,
,Palm Oil (Packed),132.7,190,,
,Gur,57.25,140,,
,Tea Loose,269.46,600,,
,Salt Pack (Iodised),21.46,35,,
,Potato,24.61,60,,
,Onion,26.73,60,,
,Tomato,38.92,120,,
