Date 17/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.22,65,,
Unit:(Rs./Kg.),Wheat,31.85,54,,
,Atta (Wheat),37.19,71,,
,Gram Dal,86.56,140,,
,Tur/Arhar Dal,115.43,182,,
,Urad Dal,113.66,155,,
,Moong Dal,110.43,148,,
,Masoor Dal,89.68,142,,
,Sugar,46.53,60,,
,Milk @,59.23,85,,
,Groundnut Oil (Packed),188.57,286,,
,Mustard Oil (Packed),186.67,257,,
,Vanaspati (Packed),156.4,231,,
,Soya Oil (Packed),146.95,194,,
,Sunflower Oil (Packed),165.66,231,,
,Palm Oil (Packed),133.22,179,,
,Gur,57.22,137,,
,Tea Loose,272.29,560,,
,Salt Pack (Iodised),21.52,36,,
,Potato,25.83,55,,
,Onion,28.51,60,,
,Tomato,49.49,120,,
