Date 06/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.55,68,29,40,51.33,53.5,44.5,41.28,37.93,44,38.13,40,51.5,54,37.83,38.75,41,45,39.06,53.63,49.36,47,38.04,48,51,37.3,49.7,43.07,39.18,65,39.87,42.21,49.33,58,56.1,37.75,39.39,37.75,44.14
Unit:(Rs./Kg.),Wheat,31.71,58,22,28,,42.5,45,36.54,29.07,31,34.75,30,39.5,51,34.33,29.25,24,33.33,31.78,42.63,46.75,,29.76,39.89,49,43,42.13,42.57,38.75,48,27.2,29.32,38.83,45.97,40.5,,28.3,28.5,30.75
,Atta (Wheat),36.75,70,29,35,69,45,43,39.36,34.53,36,37.38,34,46.5,48,35.33,34.25,36,39.29,36.11,44.72,46.07,43,34.47,44.58,49,41.9,48.6,48.27,42.09,47,32.87,33.57,39.33,54.94,44.4,40.25,33.68,36,39.14
,Gram Dal,95.21,145,70,90,111,101,105.5,95.76,87.67,90,96.25,100,100,108,95,92.25,99.08,97.43,92.94,94.84,111.46,134,92.73,99.58,113,110.17,98.43,98.18,98.24,102,99.47,89.61,97,103.13,91.4,99.67,89.05,88,91.95
,Tur/Arhar Dal,162.04,195,124,160,177,168.75,179.5,168.2,156.27,165,159.13,163,167.5,167,166,167,165.92,165.17,160.11,158.03,175.92,173,157.16,166.21,178,178.6,156.67,168.44,156.91,185,168.53,162.79,170,171.38,163.4,165,153.53,164.75,164.29
,Urad Dal,124.93,170,85,120,163,131.25,125.75,111.04,120.53,125,119.13,143,145,155,123.5,118,133.83,127.29,122.17,130.84,142.83,141,118.43,129.47,140,133,135.29,121.33,118.95,149,131.07,120.14,124.33,137.59,128.5,129,120.39,119.5,125.76
,Moong Dal,116.27,160,87,120,137.33,121.5,118.25,116.48,112.8,116,115.13,123,127.5,125,111.17,117,117.67,122.29,113.11,118.59,131.92,128.5,109.55,120.42,128,122.8,138.14,121.87,113.73,113,117.07,107.86,126.67,121.53,115.8,113.75,111.85,116.25,117.9
,Masoor Dal,90.35,160,74,90,104,93.25,101.25,91.2,80.4,90,89.5,90,93,98,83.83,86,87.42,104.57,82,93.44,101.85,131.5,86.69,93.68,93,87.6,98.6,97.47,82.36,98,93.2,87.07,95.83,92.07,93.3,106.75,87.63,102.5,96.71
,Sugar,45.04,60,34,44,54.33,44,53.75,47.32,44.67,45,43.88,45,43,44,43.17,44.75,47,50.14,45.53,43,44.07,55,42.73,43.68,54,49.4,52,50.5,45.05,48,44.6,42.68,51.5,44.16,40.3,49.5,43.97,44,46.29
,Milk @,58.68,83,39,60,73.67,56.75,75.25,72.64,56,60,56.75,56,66,62,63,58.25,52.92,54.71,59.25,51.28,54.36,60,55.65,59.21,,73.6,79.4,72.67,53.1,48,59.93,52.39,64.17,47.59,58.1,74.25,61.8,62,56.05
,Groundnut Oil (Packed),195.25,275,132,183,237,179.25,169,203.29,185.43,183,201,216,213.5,236,185.5,211.75,225.75,,193.07,183.75,235.33,,194.29,197.32,,,152,200,203,249,232.77,187.89,,216.97,169.1,,198.5,169,209.33
,Mustard Oil (Packed),166.73,211,124,165,164.67,176.5,178.67,168.52,155.97,139,162.75,178,187,181,168.67,156,185.5,187.67,170.28,170.5,192.7,175.5,163.61,183.22,181,163.9,178,152.87,180.5,161,170.07,153.75,189.33,184.08,162.9,179.25,160.93,156,166.38
