Date 22/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.58,65,,
Unit:(Rs./Kg.),Wheat,32.5,68,,
,Atta (Wheat),37.65,65,,
,Gram Dal,93.1,140,,
,Tur/Arhar Dal,157.08,183,,
,Urad Dal,123.41,160,,
,Moong Dal,113.05,150,,
,Masoor Dal,88.45,133,,
,Sugar,44.43,60,,
,Milk @,58.64,82,,
,Groundnut Oil (Packed),193.2,253,,
,Mustard Oil (Packed),171.37,212,,
,Vanaspati (Packed),146.55,209,,
,Soya Oil (Packed),144.49,192,,
,Sunflower Oil (Packed),155.42,209,,
,Palm Oil (Packed),135.4,166,,
,Gur,54.24,130,,
,Tea Loose,268.23,520,,
,Salt Pack (Iodised),22.56,31,,
,Potato,34.55,63,,
,Onion,46.44,87,,
,Tomato,41.3,100,,
