,Date 07/02/2026
Rice,42.67
Wheat,31.8
Atta (Wheat),37.4
Gram Dal,85.59
Tur/Arhar Dal,119.19
Urad Dal,115.34
Moong Dal,110.62
Masoor Dal,88.98
Sugar,46.37
Milk @,59.45
Groundnut Oil (Packed),190.26
Mustard Oil (Packed),186.7
Vanaspati (Packed),156.69
Soya Oil (Packed),148.86
Sunflower Oil (Packed),172.97
Palm Oil (Packed),135.69
Gur,56.83
Tea Loose,270.07
Salt Pack (Iodised),21.42
Potato,22.19
Onion,27.74
Tomato,34.1
Bajra (whole),38.3
Jowar (whole),43.82
Maida (wheat),41.63
Ragi (whole),54.19
Suji (whole),46.29
Besan,96.08
Desi Ghee,679.94
Butter (Pasteurised),58.88
Eggs,82.86
Brinjal,40.17
Black Pepper (whole),87.06
Coriander (whole),37.74
Cummin Seed (whole),41.21
Red Chillies (whole),27.88
Turmeric (powder),16.13
Banana,47.02
Ginger,24.72
Garlic,38.85
