Date 25/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43,64,,
Unit:(Rs./Kg.),Wheat,31.51,54,,
,Atta (Wheat),36.81,71,,
,Gram Dal,87.25,140,,
,Tur/Arhar Dal,117.59,183,,
,Urad Dal,114.22,170,,
,Moong Dal,110.34,148,,
,Masoor Dal,89.43,133,,
,Sugar,46.31,60,,
,Milk @,59.12,85,,
,Groundnut Oil (Packed),187.65,279,,
,Mustard Oil (Packed),188.34,249,,
,Vanaspati (Packed),156.65,231,,
,Soya Oil (Packed),147.46,190,,
,Sunflower Oil (Packed),161.68,253,,
,Palm Oil (Packed),131.58,190,,
,Gur,56.5,128,,
,Tea Loose,272.46,520,,
,Salt Pack (Iodised),21.4,33,,
,Potato,25.7,60,,
,Onion,28.67,60,,
,Tomato,55.33,120,,
