Date 05/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.1,63,,
Unit:(Rs./Kg.),Wheat,31.87,53,,
,Atta (Wheat),37.35,69,,
,Gram Dal,85.41,117,,
,Tur/Arhar Dal,112.29,160,,
,Urad Dal,113.03,157,,
,Moong Dal,108.98,148,,
,Masoor Dal,88,128,,
,Sugar,46.14,60,,
,Milk @,58.54,83,,
,Groundnut Oil (Packed),186.51,254,,
,Mustard Oil (Packed),188.2,242,,
,Vanaspati (Packed),154.02,231,,
,Soya Oil (Packed),146.25,192,,
,Sunflower Oil (Packed),162.12,231,,
,Palm Oil (Packed),132.87,190,,
,Gur,56.04,140,,
,Tea Loose,262.17,520,,
,Salt Pack (Iodised),21.46,35,,
,Potato,24.03,57,,
,Onion,24.95,60,,
,Tomato,36.79,120,,
